ID,TM,YW,PT,RL,AX,AY,AZ,QW,QX,QY,QZ,MX,MY,MZ
3783809,1492543854411,-3.73,3.39,90.47,69.03,977.91,-28.44,,,,,,,
3783808,1492543854362,-3.59,3.23,90.49,69.27,975.95,-31.13,,,,,,,
3783807,1492543854311,-3.5,3.14,90.5,70.98,979.13,-25.27,,,,,,,
3783806,1492543854261,-3.47,3.1,90.51,68.54,976.44,-24.05,,,,,,,
3783805,1492543854210,-3.49,3.12,90.51,64.88,982.3,-31.37,,,,,,,
3783804,1492543854161,-3.56,3.21,90.49,63.66,977.42,-25.27,,,,,,,
3783803,1492543854112,-3.69,3.35,90.47,68.3,978.15,-21.12,,,,,,,
3783802,1492543854061,-3.87,3.55,90.45,66.59,980.35,-29.91,,,,,,,
3783801,1492543854012,-4.09,3.79,90.41,70.25,976.68,-30.64,,,,,,,
3783800,1492543853960,-4.35,4.08,90.37,71.72,981.32,-27.47,,,,,,,
3783799,1492543853911,-4.64,4.4,90.33,63.17,978.15,-30.4,,,,,,,
3783798,1492543853860,-4.95,4.75,90.29,67.08,979.37,-30.15,,,,,,,
3783797,1492543853811,-5.27,5.1,90.24,70.98,977.17,-23.32,,,,,,,
3783796,1492543853762,-5.59,5.45,90.19,66.83,980.35,-27.71,,,,,,,
3783795,1492543853711,-5.91,5.8,90.15,71.72,979.86,-34.06,,,,,,,
3783794,1492543853661,-6.2,6.13,90.1,70.5,980.1,-31.13,,,,,,,
3783793,1492543853610,-6.47,6.43,90.06,67.81,978.15,-32.84,,,,,,,
3783792,1492543853561,-6.71,6.69,90.03,69.52,978.15,-22.09,,,,,,,
3783791,1492543853510,-6.9,6.91,90,66.83,976.44,-29.17,,,,,,,
3783790,1492543853461,-7.06,7.07,89.98,65.37,977.17,-28.93,,,,,,,
3783789,1492543853412,-7.15,7.18,89.96,64.64,976.2,-29.17,,,,,,,
3783788,1492543853360,-7.2,7.23,89.96,69.76,982.54,-28.44,,,,,,,
3783787,1492543853311,-7.19,7.21,89.96,65.61,981.57,-33.57,,,,,,,
3783786,1492543853260,-7.12,7.14,89.97,64.39,981.57,-23.07,,,,,,,
3783785,1492543853211,-7,7.01,89.99,65.86,979.13,-26.73,,,,,,,
3783784,1492543853162,-6.83,6.82,90.01,69.03,977.66,-35.77,,,,,,,
3783783,1492543853110,-6.61,6.58,90.04,64.88,979.61,-24.05,,,,,,,
3783782,1492543853061,-6.36,6.3,90.08,68.05,979.61,-23.56,,,,,,,
3783781,1492543853010,-6.08,5.99,90.12,67.57,983.28,-23.07,,,,,,,
3783780,1492543852961,-5.77,5.65,90.17,68.05,981.81,-29.66,,,,,,,
3783779,1492543852910,-5.45,5.3,90.21,66.1,981.08,-27.95,,,,,,,
3783778,1492543852861,-5.13,4.94,90.26,66.59,982.06,-28.44,,,,,,,
3783777,1492543852811,-4.81,4.59,90.31,69.76,977.17,-25.27,,,,,,,
3783776,1492543852760,-4.51,4.26,90.36,70.98,980.1,-31.37,,,,,,,
3783775,1492543852711,-4.24,3.95,90.4,68.3,981.08,-24.29,,,,,,,
3783774,1492543852660,-3.99,3.68,90.43,68.54,979.61,-25.51,,,,,,,
3783773,1492543852611,-3.79,3.46,90.46,69.03,978.88,-26.25,,,,,,,
3783772,1492543852560,-3.63,3.28,90.49,66.59,979.37,-26.73,,,,,,,
3783771,1492543852510,-3.52,3.16,90.5,71.23,979.61,-32.1,,,,,,,
3783770,1492543852461,-3.47,3.1,90.51,66.83,973.51,-29.66,,,,,,,
3783769,1492543852410,-3.47,3.1,90.51,61.46,978.64,-27.47,,,,,,,
3783768,1492543852361,-3.53,3.16,90.51,68.79,978.39,-29.66,,,,,,,
3783767,1492543852310,-3.65,3.29,90.5,65.37,981.32,-30.88,,,,,,,
3783766,1492543852261,-3.8,3.47,90.47,66.35,979.13,-26.98,,,,,,,
3783765,1492543852209,-4.01,3.69,90.45,67.32,983.28,-28.93,,,,,,,
3783764,1492543852160,-4.26,3.97,90.41,68.79,980.83,-24.54,,,,,,,
3783763,1492543852111,-4.54,4.28,90.37,64.88,979.13,-26.98,,,,,,,
3783762,1492543852060,-4.85,4.61,90.33,63.9,981.08,-24.54,,,,,,,
3783761,1492543852011,-5.16,4.97,90.28,65.12,977.17,-27.71,,,,,,,
3783760,1492543851959,-5.49,5.33,90.23,68.79,979.61,-27.71,,,,,,,
3783759,1492543851910,-5.81,5.68,90.18,70.25,979.37,-25.02,,,,,,,
3783758,1492543851861,-6.11,6.01,90.13,69.76,978.39,-28.2,,,,,,,
3783757,1492543851810,-6.39,6.33,90.09,66.59,983.28,-28.93,,,,,,,
3783756,1492543851761,-6.64,6.6,90.05,69.27,981.81,-23.56,,,,,,,
3783755,1492543851710,-6.85,6.84,90.02,69.03,975.22,-30.4,,,,,,,
3783754,1492543851660,-7.01,7.02,89.99,70.74,979.37,-27.22,,,,,,,
3783753,1492543851609,-7.14,7.15,89.98,68.3,978.15,-27.22,,,,,,,
3783752,1492543851560,-7.2,7.22,89.97,67.81,978.39,-26.98,,,,,,,
3783751,1492543851511,-7.21,7.23,89.97,65.37,981.57,-27.71,,,,,,,
