ID,TM,YW,PT,RL,AX,AY,AZ,QW,QX,QY,QZ,MX,MY,MZ
3914059077,1492556399997,1.58,-1.73,90.2,-12.27,984.25,-31.86,,,,,,,
3914059076,1492556399946,1.98,-2.15,90.24,-10.8,981.32,-36.25,,,,,,,
3914059075,1492556399896,2.29,-2.48,90.26,-14.22,980.1,-32.35,,,,,,,
3914059074,1492556399847,2.51,-2.71,90.28,-12.02,978.15,-28.2,,,,,,,
3914059073,1492556399796,2.64,-2.85,90.29,-9.58,976.2,-34.3,,,,,,,
3914059072,1492556399747,2.66,-2.88,90.29,-13.24,976.93,-27.71,,,,,,,
3914059071,1492556399696,2.59,-2.8,90.29,-13,978.15,-29.66,,,,,,,
3914059070,1492556399647,2.41,-2.61,90.28,-12.51,976.2,-33.57,,,,,,,
3914059069,1492556399595,2.14,-2.33,90.26,-9.34,977.66,-34.55,,,,,,,
3914059068,1492556399546,1.79,-1.95,90.23,-11.78,981.08,-33.57,,,,,,,
3914059067,1492556399497,1.36,-1.5,90.19,-11.29,980.83,-37.72,,,,,,,
3914059066,1492556399446,0.88,-0.98,90.14,-11.29,983.28,-34.79,,,,,,,
3914059065,1492556399397,0.35,-0.41,90.09,-13.98,985.72,-29.17,,,,,,,
3914059064,1492556399346,-0.22,0.19,90.04,-12.27,984.25,-31.62,,,,,,,
3914059063,1492556399296,-0.79,0.8,89.98,-9.09,987.92,-28.93,,,,,,,
3914059062,1492556399245,-1.37,1.42,89.93,-9.83,984.74,-35.28,,,,,,,
3914059061,1492556399196,-1.93,2.01,89.88,-16.42,981.57,-34.06,,,,,,,
3914059060,1492556399147,-2.45,2.57,89.83,-11.29,986.94,-35.52,,,,,,,
3914059059,1492556399096,-2.92,3.08,89.79,-14.47,982.06,-27.47,,,,,,,
3914059058,1492556399047,-3.33,3.51,89.76,-14.71,985.72,-36.74,,,,,,,
3914059057,1492556398995,-3.67,3.86,89.74,-12.76,982.06,-29.91,,,,,,,
3914059056,1492556398946,-3.91,4.11,89.72,-12.51,981.32,-35.28,,,,,,,
3914059055,1492556398897,-4.05,4.27,89.71,-12.02,977.42,-30.88,,,,,,,
3914059054,1492556398846,-4.1,4.32,89.71,-12.51,980.35,-38.45,,,,,,,
3914059053,1492556398797,-4.04,4.25,89.71,-10.8,983.03,-30.64,,,,,,,
3914059052,1492556398745,-3.89,4.09,89.72,-12.02,981.08,-38.45,,,,,,,
3914059051,1492556398696,-3.64,3.82,89.74,-12.02,981.57,-28.2,,,,,,,
3914059050,1492556398645,-3.3,3.47,89.77,-10.8,985.47,-30.88,,,,,,,
3914059049,1492556398596,-2.89,3.03,89.81,-8.12,979.86,-38.21,,,,,,,
3914059048,1492556398547,-2.41,2.51,89.85,-10.31,985.96,-33.33,,,,,,,
3914059047,1492556398496,-1.88,1.95,89.9,-13,981.81,-34.55,,,,,,,
3914059046,1492556398446,-1.31,1.35,89.95,-9.58,985.47,-31.37,,,,,,,
3914059045,1492556398395,-0.73,0.73,90,-11.29,985.47,-32.84,,,,,,,
3914059044,1492556398346,-0.15,0.12,90.05,-13.24,984.99,-32.59,,,,,,,
