ID,TM,YW,PT,RL,AX,AY,AZ,QW,QX,QY,QZ,MX,MY,MZ
3914018953,1492554153904,128.92,0.52,180,1.28,0.06,-989.14,,,,,,,
3914018952,1492554153847,129.14,0.53,-179.98,2.38,0.12,-990.11,,,,,,,
3914018951,1492554153791,129.34,0.53,-179.95,0.92,1.71,-988.4,,,,,,,
3914018950,1492554153734,129.53,0.53,-179.93,1.53,0.12,-987.49,,,,,,,
3914018949,1492554153677,129.69,0.54,-179.91,0.31,0.12,-988.71,,,,,,,
3914018948,1492554153621,129.82,0.54,-179.89,3.17,-0.06,-987.73,,,,,,,
3914018947,1492554153564,129.91,0.54,-179.88,2.87,1.53,-985.41,,,,,,,
3914018946,1492554153507,129.96,0.54,-179.87,0.49,1.16,-987.61,,,,,,,
3914018945,1492554153447,129.98,0.55,-179.87,1.22,1.16,-986.88,,,,,,,
3914018944,1492554153392,129.95,0.55,-179.87,2.87,0.31,-988.65,,,,,,,
3914018943,1492554153335,129.86,0.55,-179.87,1.95,0.55,-983.4,,,,,,,
3914018942,1492554153277,129.75,0.55,-179.88,0.98,0.12,-984.31,,,,,,,
3914018941,1492554153222,129.61,0.54,-179.9,2.56,1.59,-987.73,,,,,,,
3914018940,1492554153165,129.43,0.54,-179.91,3.48,-0.67,-989.81,,,,,,,
3914018939,1492554153107,129.22,0.54,-179.94,1.71,-0.37,-982.67,,,,,,,
3914018938,1492554153050,129,0.54,-179.96,0.92,1.16,-988.95,,,,,,,
3914018937,1492554152993,128.79,0.53,-179.98,-0.85,1.77,-987.85,,,,,,,
3914018936,1492554152937,128.58,0.53,179.99,0.67,3.78,-984.92,,,,,,,
3914018935,1492554152880,128.36,0.52,179.97,1.46,1.1,-989.44,,,,,,,
3914018934,1492554152823,128.18,0.52,179.94,2.93,-0.37,-989.07,,,,,,,
3914018933,1492554152765,128.03,0.51,179.92,1.83,1.22,-987.98,,,,,,,
3914018932,1492554152708,127.9,0.51,179.9,0.18,1.83,-985.78,,,,,,,
3914018931,1492554152651,127.81,0.51,179.89,1.71,0,-985.9,,,,,,,
3914018930,1492554152595,127.76,0.51,179.88,0.18,0.79,-986.88,,,,,,,
3914018929,1492554152538,127.74,0.5,179.88,0.73,-0.79,-985.78,,,,,,,
3914018928,1492554152481,127.78,0.5,179.88,1.16,1.65,-986.15,,,,,,,
3914018927,1492554152425,127.86,0.51,179.88,1.16,1.22,-985.17,,,,,,,
3914018926,1492554152368,127.97,0.51,179.89,1.65,3.48,-991.39,,,,,,,
3914018925,1492554152311,128.12,0.51,179.91,1.04,0.31,-987.12,,,,,,,
3914018924,1492554152253,128.27,0.51,179.93,1.1,1.4,-985.96,,,,,,,
3914018923,1492554152196,128.48,0.51,179.95,-0.06,0.92,-990.48,,,,,,,
3914018922,1492554152139,128.71,0.52,179.98,1.65,1.22,-987.43,,,,,,,
3914018921,1492554152081,128.92,0.52,-180,2.2,0.55,-985.23,,,,,,,
3914018920,1492554152026,129.13,0.52,-179.97,-0.49,1.95,-987.06,,,,,,,
3914018919,1492554151969,129.33,0.52,-179.94,0,0.79,-988.53,,,,,,,
3914018918,1492554151911,129.51,0.53,-179.92,1.53,0.49,-989.14,,,,,,,
3914018917,1492554151854,129.68,0.54,-179.9,0.73,0.31,-987.06,,,,,,,
3914018916,1492554151799,129.8,0.54,-179.88,0.98,0.24,-987.3,,,,,,,
3914018915,1492554151741,129.89,0.54,-179.87,1.89,0.79,-986.39,,,,,,,
3914018914,1492554151684,129.93,0.54,-179.86,2.75,1.89,-986.27,,,,,,,
3914018913,1492554151629,129.94,0.55,-179.86,1.77,0.49,-989.44,,,,,,,
3914018912,1492554151571,129.91,0.55,-179.86,2.69,1.53,-987.67,,,,,,,
3914018911,1492554151514,129.83,0.55,-179.86,2.32,1.4,-987.55,,,,,,,
3914018910,1492554151459,129.73,0.55,-179.87,0.18,2.08,-987.98,,,,,,,
3914018909,1492554151401,129.56,0.55,-179.88,1.4,2.93,-984.56,,,,,,,
3914018908,1492554151346,129.39,0.54,-179.9,0.85,0.49,-986.08,,,,,,,
3914018907,1492554151289,129.18,0.54,-179.92,0.24,2.01,-989.62,,,,,,,
3914018906,1492554151231,128.98,0.54,-179.95,1.53,0.98,-988.89,,,,,,,
3914018905,1492554151174,128.76,0.53,-179.97,0.55,2.44,-988.65,,,,,,,
3914018904,1492554151119,128.53,0.53,-180,1.77,1.71,-988.83,,,,,,,
3914018903,1492554151061,128.32,0.53,179.97,2.14,0.92,-984.92,,,,,,,
3914018902,1492554151004,128.14,0.53,179.95,1.46,-0.12,-989.26,,,,,,,
3914018901,1492554150947,127.97,0.53,179.93,0.31,1.53,-987.06,,,,,,,
3914018900,1492554150889,127.86,0.52,179.91,0.43,0.18,-988.71,,,,,,,
3914018899,1492554150834,127.77,0.52,179.9,0.37,-0.24,-986.39,,,,,,,
3914018898,1492554150777,127.72,0.52,179.89,1.04,1.46,-989.75,,,,,,,
3914018897,1492554150719,127.73,0.52,179.88,-0.79,-0.85,-987.67,,,,,,,
3914018896,1492554150662,127.78,0.52,179.88,1.22,-1.34,-983.89,,,,,,,
3914018895,1492554150607,127.86,0.51,179.89,2.87,0,-990.23,,,,,,,
3914018894,1492554150549,127.96,0.52,179.9,0.61,1.53,-986.69,,,,,,,
3914018893,1492554150492,128.12,0.52,179.91,0.98,-1.1,-987.3,,,,,,,
3914018892,1492554150437,128.29,0.52,179.93,1.16,-0.12,-988.53,,,,,,,
3914018891,1492554150377,128.49,0.52,179.95,1.95,2.81,-985.23,,,,,,,
3914018890,1492554150320,128.72,0.52,179.98,3.48,2.32,-989.62,,,,,,,
3914018889,1492554150263,128.93,0.53,-180,2.01,1.34,-989.99,,,,,,,
3914018888,1492554150205,129.18,0.53,-179.97,2.26,2.14,-988.34,,,,,,,
3914018887,1492554150150,129.37,0.53,-179.95,1.28,2.56,-985.6,,,,,,,
3914018886,1492554150093,129.54,0.54,-179.92,1.89,1.71,-988.77,,,,,,,
3914018885,1492554150035,129.69,0.54,-179.9,0.55,1.16,-986.69,,,,,,,
3914018884,1492554149978,129.83,0.55,-179.89,1.65,0.12,-986.33,,,,,,,
3914018883,1492554149921,129.89,0.55,-179.87,1.83,-0.67,-988.89,,,,,,,
3914018882,1492554149863,129.94,0.55,-179.87,0.79,-0.49,-989.26,,,,,,,
3914018881,1492554149808,129.95,0.55,-179.86,2.81,0.55,-988.04,,,,,,,
3914018880,1492554149751,129.92,0.55,-179.87,0.12,0.73,-988.04,,,,,,,
3914018879,1492554149695,129.83,0.55,-179.87,2.44,1.04,-990.05,,,,,,,
3914018878,1492554149638,129.72,0.56,-179.88,2.56,2.08,-988.89,,,,,,,
3914018877,1492554149581,129.56,0.55,-179.89,1.46,0.67,-987.73,,,,,,,
3914018876,1492554149525,129.39,0.55,-179.91,1.4,0.49,-988.77,,,,,,,
3914018875,1492554149468,129.19,0.55,-179.93,-0.37,-0.06,-988.16,,,,,,,
3914018874,1492554149411,128.97,0.55,-179.96,1.22,-0.37,-989.26,,,,,,,
3914018873,1492554149353,128.75,0.55,-179.98,1.71,-0.24,-990.72,,,,,,,
3914018872,1492554149296,128.53,0.54,179.99,1.28,1.59,-985.17,,,,,,,
